Company,Category,Subcategory,Layer,Geo,Year Founded,Headquarters,Description,Notes,Website,Funding Total USD,Last Round,Last Round USD,Last Round Date,Valuation USD,Company Type,Ticker,Employee Count,Revenue Estimate USD,Investors
Appen,Data & MLOps,Data Labeling,Platform,Australia,1996,"Sydney, Australia",AI training data services,Global annotation workforce,appen.com,,,,,,public,APX,1000,300000000,"Public company (ASX)"
Determined AI,Data & MLOps,ML Platform,Platform,US,2017,"San Francisco, CA",Distributed ML training platform,Acquired by HPE,determined.ai,,,,2021-06,,acquired,,50,,"GV, Amplify Partners (Acquired by HPE)"
Anyscale,Data & MLOps,Compute,Platform,US,2019,"San Francisco, CA",Ray distributed computing,OSS compute framework,anyscale.com,259000000,Series C,99000000,2023-09,1000000000,private,,200,,"a16z, NEA, Intel Capital, Addition"
Mosaic ML,Data & MLOps,ML Platform,Platform,US,2021,"San Francisco, CA",LLM training platform,Acquired by Databricks,mosaicml.com,131000000,Series C,36300000,2023-06,1300000000,acquired,,100,,"Lux Capital, Maveron (Acquired by Databricks)"
Hex,Data & MLOps,Data Science,Platform,US,2019,"San Francisco, CA",Collaborative data workspace,Notebooks meet BI,hex.tech,97000000,Series B,52000000,2022-09,,private,,130,,"a16z, Redpoint, Amplify"
Posthog,Data & MLOps,Analytics,Platform,US,2020,"San Francisco, CA",Open source product analytics,Self-hosted analytics,posthog.com,27000000,Series B,15000000,2021-06,,private,,50,,"Y Combinator, GV, 1984 Ventures"
Wiz,Cybersecurity AI,Cloud Security,Application,Israel,2020,"New York, NY",Cloud security platform,Acquired by Google for $32B,wiz.io,1900000000,Series E,1000000000,2024-05,12000000000,acquired,,1200,500000000,"Sequoia, Insight, Index Ventures, Greenoaks (Acquired by Google)"
Palo Alto Networks,Cybersecurity AI,Network,Application,US,2005,"Santa Clara, CA",Enterprise cybersecurity,AI-powered security operations,paloaltonetworks.com,,,,,,public,PANW,15500,8154000000,"Public company"
Zscaler,Cybersecurity AI,Cloud Security,Application,US,2007,"San Jose, CA",Cloud security platform,Zero trust AI,zscaler.com,,,,,,public,ZS,7700,2168000000,"Public company"
Fortinet,Cybersecurity AI,Network,Application,US,2000,"Sunnyvale, CA",Network security with AI,FortiAI,fortinet.com,,,,,,public,FTNT,13800,5760000000,"Public company"
Lacework,Cybersecurity AI,Cloud Security,Application,US,2015,"San Jose, CA",AI cloud security,Data-driven security,lacework.com,1080000000,Series D,200000000,2022-11,8300000000,private,,800,80000000,"Sutter Hill, Snowflake Ventures, Altimeter"
Orca Security,Cybersecurity AI,Cloud Security,Application,Israel,2019,"Portland, OR",Agentless cloud security,SideScanning technology,orca.security,732000000,Series C,210000000,2023-11,1800000000,private,,500,100000000,"Iconiq, GGV, Tiger Global, Redpoint"
Torq,Cybersecurity AI,Security Automation,Application,Israel,2020,"New York, NY",AI security automation,Hyperautomation for SOCs,torq.io,112000000,Series C,70000000,2024-08,,private,,200,,"Evolution Equity, Insight Partners, GGV"
Augtera Networks,Cybersecurity AI,Network,Application,US,2019,"San Jose, CA",AI for network operations,AIOps for infrastructure,augtera.com,7000000,Seed,7000000,2022-01,,private,,30,,"DCVC, Engineering Capital"
Bolster,Cybersecurity AI,Fraud Detection,Application,US,2017,"Los Altos, CA",AI phishing and fraud detection,Digital risk protection,bolster.ai,22000000,Series B,14000000,2024-06,,private,,50,,"Cheyenne Ventures, Cervin Ventures, M12"
Snorkel AI,Data & MLOps,Data Labeling,Platform,US,2019,"Redwood City, CA",Programmatic data labeling,Data-centric AI,snorkel.ai,135000000,Series C,85000000,2022-08,1000000000,private,,200,,"Lightspeed, GV, Greylock, In-Q-Tel"
Coactive AI,Data & MLOps,Data Processing,Platform,US,2021,"San Jose, CA",Multimodal data understanding,Unstructured data platform,coactive.ai,45000000,Series B,30000000,2024-08,,private,,35,,"Bessemer, Emerson Collective, a16z"
Adept AI,Frontier Models,AI Agents,Foundation,US,2022,"San Francisco, CA",AI agent company,Action-oriented AI — talent deal with Amazon,adept.ai,415000000,Series B,350000000,2023-03,1000000000,private,,30,,"General Catalyst, Spark Capital (talent deal with Amazon)"
SSI (Safe Superintelligence),Frontier Models,Large Language Models,Foundation,US,2024,"Palo Alto, CA",Superintelligence research,Ilya Sutskever startup,ssi.inc,1000000000,Series A,1000000000,2024-09,,private,,15,,"a16z, Sequoia, DST, Greenoaks"
Sakana AI,Frontier Models,Research,Foundation,Japan,2023,"Tokyo, Japan",Nature-inspired AI research,Foundation model research in Japan,sakana.ai,300000000,Series B,214000000,2024-09,1500000000,private,,50,,"NVIDIA, Khosla, Lux Capital, New Enterprise Associates"
Poolside,Frontier Models,Code Generation,Foundation,US,2023,"San Francisco, CA",AI code generation,Coding-focused LLM,poolside.ai,626000000,Series B,500000000,2024-10,3000000000,private,,50,,"Bain Capital, DST Global, Felicis, Salesforce"
Magic,Developer Tools,Code Assistant,DevTools,US,2022,"San Francisco, CA",AI software engineer,Long context code models,magic.dev,320000000,Series C,320000000,2024-08,1500000000,private,,50,,"NFDG, CapitalG, Elad Gil, Nat Friedman"
Devin (Cognition),Developer Tools,AI IDE,DevTools,US,2023,"San Francisco, CA",Autonomous AI software engineer,First AI software engineer,cognition.ai,200000000,Series B,175000000,2024-10,2000000000,private,,30,,"Founders Fund, Khosla, Spark Capital"
Augment Code,Developer Tools,Code Assistant,DevTools,US,2022,"Palo Alto, CA",AI coding platform,Enterprise dev AI,augmentcode.com,227000000,Series B,150000000,2024-11,,private,,100,,"Index Ventures, Sutter Hill, Eric Schmidt"
Weights,Developer Tools,ML Tools,DevTools,US,2023,"San Francisco, CA",AI model management,ML engineering tools,weights.com,20000000,Series A,20000000,2024-03,,private,,25,,"Index Ventures, Abstract Ventures"
Aporia,Data & MLOps,ML Monitoring,Platform,Israel,2020,"Tel Aviv, Israel",ML observability and guardrails,LLM monitoring,aporia.com,35000000,Series B,25000000,2024-01,,private,,50,,"Insight Partners, Tiger Global"
Neon,Infrastructure,Database,Cloud,US,2021,"San Francisco, CA",Serverless Postgres,Database for AI applications,neon.tech,104000000,Series B,46000000,2023-08,,private,,100,,"a16z, GGV, Founders Fund"
Supabase,Infrastructure,Database,Cloud,US,2020,"San Francisco, CA",Open source Firebase alternative,Postgres platform,supabase.com,116000000,Series C,80000000,2024-04,500000000,private,,100,,"Y Combinator, Felicis, Coatue"
